File Name,ok/nok,Modification Date,Dates et heures A1, Reference porteur,Reference flex,Part number 101,Batch number 101,Part number 102,Batch number 102,Part number 103,Batch number 103,Part number 201,Batch number 201,Part number 202,Batch number 202,Part number 203,Batch number 203,Part number LV,Batch number LV,Part number HV,Batch number HV,Dates et heures B1,Soudage 1.1,Soudage 1.2,Soudage 2.1,Soudage 2.2,Soudage 3.1,Soudage 3.2,Soudage 4.1,Soudage 4.2,Soudage 5.1,Soudage 5.2,Soudage 6.1,Soudage 6.2,Soudage 7.1,Soudage 7.2,Soudage 8.1,Soudage 8.2,Soudage 9.1,Soudage 9.2,Dates et heures A11,A11,Dates et heures B2,Collage,B3 dates et heures,Pressage,Dates et heures A21,Test 1,A22 dates et heures,Test 2
ELV036257-4023085.TXT,0221123-0035.txt,2023-11-22,2023/11/22 14:27:41,02,AB12221-603-0H-ELV036257-4023085,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 14:29:03,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 14:34:28,OK,2023/11/22 14:39:48,OK,2023/11/22 14:41:36,OK,2023/11/22 14:57:11,OK,2023/11/22 15:00:52,OK
ELV036257-4023144.TXT,0221123-0036.txt,2023-11-22,2023/11/22 13:22:56,02,AB12221-603-0H-ELV036257-4023144,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 13:23:43,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 13:27:23,OK,2023/11/22 13:30:27,OK,2023/11/22 13:31:48,OK,2023/11/22 14:44:03,OK,2023/11/22 14:47:42,OK
ELV036257-4023121.TXT,0221123-0038.txt,2023-11-24,2023/11/22 13:32:59,07,AB12221-603-0H-ELV036257-4023121,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 13:34:06,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 13:38:06,OK,2023/11/22 13:44:40,OK,2023/11/22 13:46:02,OK,2023/11/22 14:42:05,OK,2023/11/22 14:44:03,OK
ELV036257-4023094.TXT,0221123-0039.txt,2023-11-22,2023/11/22 14:21:30,06,AB12221-603-0H-ELV036257-4023094,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 14:22:13,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 14:28:06,OK,2023/11/22 14:35:15,OK,2023/11/22 14:35:37,OK,2023/11/22 14:50:17,OK,2023/11/22 14:53:39,OK
ELV036257-4023120.TXT,0221123-0040.txt,2023-11-22,2023/11/22 13:19:36,01,AB12221-603-0H-ELV036257-4023120,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 13:20:19,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 13:23:49,OK,2023/11/22 13:28:24,OK,2023/11/22 13:28:46,OK,2023/11/22 14:47:42,OK,2023/11/22 14:50:17,OK
ELV036257-4023093.TXT,0221123-0041.txt,2023-11-22,2023/11/22 14:24:56,04,AB12221-603-0H-ELV036257-4023093,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 14:25:38,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 14:31:23,OK,2023/11/22 14:36:47,OK,2023/11/22 14:38:38,OK,2023/11/22 14:53:39,OK,2023/11/22 14:57:11,OK
ELV036257-4023123.TXT,0221123-0042.txt,2023-11-22,2023/11/22 13:29:59,03,AB12221-603-0H-ELV036257-4023123,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/22 13:30:41,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/22 13:35:28,OK,2023/11/22 13:41:50,OK,2023/11/22 13:42:59,OK,2023/11/22 14:40:15,OK,2023/11/22 14:42:05,OK
ELV036257-4023089.TXT,0221123-0044.txt,2023-11-27,2023/11/27 13:54:53,07,AB12221-603-0H-ELV036257-4023089,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/27 13:57:34,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/27 14:01:28,OK,2023/11/27 14:03:05,OK,2023/11/27 14:03:27,OK,2023/11/27 14:47:17,OK,2023/11/27 14:48:43,OK
ELV036257-4023106.TXT,0221123-0046.txt,2023-11-28,2023/11/27 14:07:58,55,AB12221-603-0H-ELV036257-4023106,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/27 14:08:41,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/27 14:12:12,OK,2023/11/27 14:18:26,OK,2023/11/27 14:19:48,OK,2023/11/28 07:38:28,OK,2023/11/28 07:39:06,OK
ELV036257-4023130.TXT,0221123-0047.txt,2023-11-28,2023/11/27 14:40:58,07,AB12221-603-0H-ELV036257-4023130,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/27 14:42:08,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/27 15:14:41,OK,2023/11/27 15:18:02,OK,2023/11/27 15:19:25,OK,2023/11/28 07:41:01,OK,2023/11/28 07:41:44,OK
